C2;de;en
das Tiefland;lowland, lowlands
ohne Unterlass;incessantly, unceasingly, constantly
belauern ;to stalk, to watch, to ambush
einen Entschluss fassen;to make/reach/take a decision, to reach a conclusion, to decide, to conclude, to make up one's mind
allenthalben;everywhere, on all sides
die Stirn bieten;to defy, to stand up to
der Eckpfeiler;cornerstone
unterbinden;to prevent, to prohibit, to stop
Wurzeln schlagen;to take root, to put down roots
umschlingen;to entwine, to entangle
einverleiben;to incorporate, annex
unverkennbar;unmistakable, distinctive
durcheinanderwerfen;to confound, to jumble, to mix up
fortwährend;continually, continuously, constantly
bezichtigen ;to accuse
ungeheuer;tremendous, enormous
vielgestaltig;diverse, multiform, varied
das Scharnier;hinge, hinge joint
zutage treten;to come to light, emerge
hinausweisen;to transcend
der Gemetzel;bloodbath
juridisch;legal
landläufig;common, widespread, current
die Unzulänglichkeit;inadequacy, shortcoming
beiwohnen;to attend, to be present at
laufen lernen;to find one's feet
das Auseinanderklaffen;divergence
die Aporie;aporia
zeitigen;to bring about, to produce
während ;lasting, continuing
die Übereinkunft;
