A1;de;en
ich;I
hinten;at the back, in the rear
fliegen;to fly
das Gefühl;the feeling
der Liebling;the darling, favourite
böse;vicious, wicked, evil, naughty
vorsichtig;careful
acht;eight
froh;happy
der Boden;the soil, bottom, floor, ground
die Zentrale;the headquarter, center, base, main office
der Rest;the remainder, remnant
fort;away, gone
damals;then, back then, at that time
erklären;to explain, declare
das Geschäft;the business, the deal, the store
der Zug;the train
die Klasse;the class
die Wohnung;the apartment, flat, dwelling, lodging
stark;strong
stolz;proud
der Laden;the shop, store, loading
weniger;less
besonders;especially
schicken;to send
schauen;to look
aufhören;to stop, end, discontinue, cease doing something
das Gefängnis;the prison, the jail
das Krankenhaus;the hospital
der Traum;the dream
die Nachricht;the news, message
die Dame;the lady
heraus;out, forth
das Hotel;the hotel
fallen;to fall
das Boot;the boat
das Fenster;the window
vorstellen;to introduce
lachen;to laugh
der Ritter;the knight
der Mai;the May
zweite;second
heißen;to mean sth, signify sth, read to be called
geschehen;to happen, occur, happened, occured
total;total
ändern;to alter, change, modify
tanzen;to dance
folgen;to follow
solange;as long as
nachdem;after which
führen;to lead, guide, direct
das Vertrauen;the trust
wenigstens;at least
lustig;funny, humourous
dumm;dumb, stupid
arm;poor
der Arm;the arm
plötzlich;suddenly
passieren;to happen
das Bild;the picture
wunderbar;marvelous, wunderful
sieben;seven
die Antwort;the answer
unmöglich;impossible
herum;around
super;super
das Auge;the eye
das Bier;the beer
vorher;prior, before, previously
kalt;cold
anrufen;to call
der Augenblick;the moment, present moment, instant, flash
verheiratet;married
der Tisch;the Table
schlimm;bad
schießen;to shoot
die Meinung;the opinion
der Rum;the rum
die Sonne;the sun
die Armee;the army
links;on the left
müde;tired
liegen;to lie, lay, sit, to be located, to be situated
die Reise;the journey, voyage, trip
die Sicherheit;the security
das Team;the team
sobald;as soon as
der Finger;the finger
der Brief;the letter
zahlen;to pay
welcher;which
gewinnen;to win
laut;loud
verkaufen;to sell
fangen;to catch
bezahlen;to pay
der Anfang;the beginning
der Versuch;the attempt
gefährlich;dangerous
außerdem;besides, moreover, furthermore, in addition
legen;to put, lay, place, set
der Präsident;the president
die Person;the person
nochmal;again
perfekt;perfect
der Monat;the month
behalten;to retain, keep
singen;to sing
erfahren;to experience, hear sth, learn sth, experienced, seasoned
obwohl;although
rechts;on the right
die Nähe;the proximity, vicinity, closeness
die Sichtweise;the perception, viewpoint, way of seeing things
dagegen;However, against it, by contrast, on the other hand
das Pferd;the horse
klein;small
anfangen;to begin, to start
die Minute;the minute
nötig;necessary
schlagen;to hit
der Mord;the murder
der Schluss;the conclusion, end, ending, closure, close
der Band;the volume
die Band;the band
das Band;ribbon, band, strap, ligament
der Meister;the master
jedenfalls;in any case, in any event, at any rate
neu;new
das Schwein;the pig
hübsch;pretty, handsome, cute, lovely
unterwegs;on the way
das Ziel;the aim, target, objective, purpose, goal
offen;open
jemals;ever, ever at any time
der Geist;the spirit, mind, ghost
die Wette;the bet, wager
das Beispiel;the example
der Chef;the male boss
die Nase;the nose
sowieso;anyway, in any case, anyhow
rücken;to move, move over, jiggle
der Rücken;the back, rear, spine
reich;rich
das Flugzeug;the airplane
die Gefahr;the danger, risk
absolut;absolute
bekannt;famous, known, noted
tief;deep, low
regeln;to rule, regulate, adjust, control
die Bank;the bank
der Professor;the professor
der Partner;the partner
das Opfer;the sacrifice, victim, casualty
nutzen;to use
die Ehe;the marriage
geboren;born
jung;young
die Tasche;the bag
der Lauf;the run, barrel, current, course
die Haut;the skin
die Richtung;the direction
die Weise;the way, manner
weise;wise, prudent
der Raum;the room
die Regierung;the government
die Rolle;the role
der Frieden;the peace
das Volk;the people
schrecklich;awful, terrible, horrible, dreadful
das Gericht;the dish, court
ständig;constant, continuous
fernsehen;to watch tv
das Fernsehen;the television
das Gesetz;the law
neben;next to, beside
dahin;thither, there, lost
die Freiheit;the freedom
das Gold;the gold
verdächtigen;to suspect
das Weihnachten;the Christmas
der Preis;the price
benutzen;to use
das Geschenk;the gift
die Aufmerksamkeit;the attention, interest, attentiveness
heiß;hot
pro;per
die Lage;1. the location, position. 2. the situation
das Schicksal;the fate
der Punkt;the dot, spot, point, period
ansehen;to look at, to watch
der Witz;the joke
diesmal;this time
ewig;forever
der Unfall;the accident
der Hunger;the hunger
die Kamera;the camera
das Taxi;the taxi
der Tee;the tea
der See;the lake
die See;the sea
das Meer;the sea
erreichen;to achieve, reach, attain, accomplish, gain, obtain
die Hochzeit;the wedding
der Geburtstag;the birthday
der Hut;the hat
die Liste;the list
die Karte;the card
die Gesellschaft;the society, association, company, corporation, companion
lügen;to lie, to say falsely
die Kirche;the church
traurig;sad
die Kontrolle;the inspection, monitoring, examination, control
das Zeichen;the sign
das Foto;the photo
seltsam;odd, peculiar, strange
sauber;clean
das Aussehen;the physical appearance, looks, look
aussehen;to look
die Hoffnung;the hope
der Ball;the ball
der Wein;the wine
die Szene;the scene
das Vergnügen;the pleasure, the delight
irgendwann;sometime
stechen;to stick, stab, sting, prick, bite
neun;nine
drehen;turn, spin, rotate
die Tante;the aunt
kaputt;broken
das Dorf;the village
das Glas;the glass
nervös;nervous
zuhause;at home
die Firma;the company, the enterprise
die Lust;the desire
der Blick;the glimpse, sight, glance, look, view
süß;sweet
öffnen;to open
gehören;to belong to
nachts;at night
der Meter;the meter
wunderschön;gorgeous, beautiful, wonderful
antworten;to answer
der Hals;the neck
nämlich;namely
der Besuch;the visit
wohnen;to live
lieb;dear
persönlich;personal
die Entscheidung;the decision
interessant;interesting
passen;to fit, to suit
der Wind;the wind
der Polizist;the male police officer
die Sekunde;the second
beweisen;to prove, substantiate, provide evidence
verraten;to betray, give away
lagern;to store, camp
werfen;to throw
der Fuß;the foot
gegenüber;across
ungefähr;about, roughly, approximately, approximate
übrigens;by the way, incidentally
der Mut;the courage
sauer;sour, annoyed
das Geheimnis;the secret
entfernt;remote, distant, away, removed
statt;instead of
das Bein;the leg
furchtbar;terrible, awful, dreadful
schuldig;guilty
die Gruppe;the group
der Amerikaner;the American person
das Loch;the hole
besuchen;to visit
entlang;along, alongside
die Freude;the joy
geliebt;beloved
die Insel;the island
das Fleisch;the meat
der Schmerz;the pain
die Zeitung;the newspaper
erkennen;to recognise, to realise
das Gebäude;the building
das Messer;the knife
der Kontakt;the contact
schreien;to scream, to shout
der Rat;the advice, counsel
das Haar;the hair
teilen;1. to divide. 2. to share
der Bus;the bus
der Richter;the judge
mitnehmen;to take along
das Lied;the song
drinnen;inside there
der Computer;the computer
verstecken;to hide
das Verstecken;the hiding, concealment, encryption
die Königin;the queen
der Bericht;the report
miteinander;with one another, together
zufrieden;pleased, satisfied
wütend;furious
der Fisch;the fish
vorwärts;forward, forwards, ahead
die Vergangenheit;the past
überleben;to survive
der Agent;the agent
die Position;the position
die Küche;the kitchen
der Ring;the ring
die Gegend;the area, neighborhood, region
nah;near
die Verbindung;the connection, the combination, the link
das Kleid;the dress
die Ecke;the corner
das Radio;the radio
das Eis;the ice, ice cream
witzig;witty, funny
kurzlebig;short
~ zufolge;according to ~
der Flug;the flight
halb;half
England;England
bauen;to build
entscheiden;to decide
erledigen;to settle, handle, do
zerstören;to destroy
die Maschine;the machine
beschäftigt;busy
der Sommer;the summer
der Respekt;the respect
schließlich;eventually, lastly, at last, finally
die Adresse;the address
die Fahrt;the journey, trip
beginnen;to begin
die Aufgabe;the task, assignment, purpose, duty, surrender, job
hängen;to hang
feiern;to celebrate
weinen;to cry
betrunken;drunk
die Beziehung;the relationship
der Wald;the forest
soweit;insofar as, as far as, provided, to the extent
stimmen;to tune, vote, add up
der Park;the park
danken;to thank
schwierig;difficult
die Hälfte;the half
besorgt;worried
der Koffer;the suitcase
die Pistole;the gun, pistol
die Brücke;the bridge
der Knast;the jail, the slammer
gesund;healthy
der Quatsch;the nonsense
wünschen;to wish
der Unterschied;the difference
leiden;to suffer
leisten;to achieve, accomplish, render, perform, make
das Tor;the gate
der Glückwunsch;the congradulations, best wishes
der Soldat;the soldier
verantwortlich;responsible
das Dach;the roof
der Lehrer;the teacher
steigen;to rise
stiften;to donate, endow, bring about
die Katze;the cat
das Tier;the animal
rennen;to run
das Gehirn;the brain
das Theater;the theatre
der Erfolg;the success
der Fluss;the river
blöd;stupid, silly, dumb
die City;the city, downtown
küssen;to kiss
der Baum;the tree
davor;beforehand, before that
verdienen;to earn
das System;the system
der Club;the club
das Lächeln;the smile
lächeln;to smile
das Abendessen;the supper
die Flasche;the bottle
schützen;to protect
leer;empty
schließen;to close, shut, conclude, infer
rauchen;to smoke
das Rauchen;the smoking
der Vogel;the bird
vermutlich;probably
kosten;to cost
der Haufen;the pile
die Wand;the wall
brechen;to break
der Grad;the degree
übernehmen;to assume, to take over, take on
zuvor;previously, before
die Natur;the nature, character, natural world
englisch;English
das Englisch; English
der Angriff;the assault, attack
die Möglichkeit;the possibility
lächerlich;ridiculous, laughable, absurd
morgens;in the morning
aufpassen;to pay attention, to take care
inmitten;in the middle of, amid, among
stören;to disturb, disrupt, interfere
der Stein;the stone
die Pause;the break, the intermission
der Nachmittag;the afternoon
der Auftrag;the order
der Regen;the rain
einverstanden;agreed, all right!
gemeinsam;common, mutual, together
dorthin;to there
bedeuten;to mean, matter, imply
schwarz;black
die Lüge;the lie
die Farbe;the color
fassen;to grasp, catch, conceive
reisen;to travel
die Spur;the track
das Frühstück;the breakfast
offensichtlich;obviously, obvious, apparent, apparently
mitkommen;to come along
die Runde;the lap
das Wochenende;the weekend
zufällig;by chance
der Untertitel;the subtitle, subheading, subtitles, caption
tragbar;portable, sustainable, acceptable, wearable, hand
fern;far, distant
geschlossen;closed
der Mond;the moon
unternehmen;to undertake
die Hose;the pants
der Rock;the skirt, rock, rock music
der Rock;the rock
das Pfund;the pound
warm;warm
die Braut;the bride
versprechen;to promise
die Reihe;the row
fantastisch;fantastic
die Sprache;the language
irgendwelche;any
das Gespräch;the conversation
der Flughafen;the airport
der Wunsch;the wish
die Post;the mail, post, post office
der Schaden;the damage
der Tanz;the dance
der Urlaub;the vacation
dick;thick, fat
die Gelegenheit;the opportunity
die Folge;the consequence
herausfinden;to find out, spot, learn, ascertain
die Verantwortung;the responsibility
das Thema;the topic, theme
leise;quiet, quietly
der Keller;the cellar, the basement
versagen;to fail, malfunction, break down, deny
die Erfahrung;the experience
dauern;to last, to take/require continue on
das Schloss;1. the lock. 2. the castle
das Angebot;the offer
umsonst;free, without cost, for nothing, in vain
der Anzug;the suit
beenden;to finish
der Strand;the beach
das Grab;the grave
das Restaurant;the restaurant
rot;red
der Schatten;the shade, shadow
der Gang;the course, gear, aisle
das Lager;the warehouse, camp
aufstehen;to stand up, to get up
der Sieg;the victory
nerven;to bug annoy, get on someone's nerves
die Kugel;the ball, the scoop
die Milch;the milk
schwanger;pregnant
die Gewalt;the violence
Frankreich;France
die Schönheit;the beauty
zweimal;twice
die Pflicht;the duty
die Kunst;the art
der Kuss;the kiss
schwimmen;to swim
das Knie;the knee
der Priester;the priest
die Form;the shape, the form
beruhigen;to soothe, calm
blind;blind
der Kurs;1. the course. 2. the exchange rate
der Großvater;the grandfather
entkommen;to escape
der Fahrer;the male driver
die Million;the million
das Risiko;the risk
der Test;the test, trial, quiz
ähnlich;similar
mindestens;at least
die Grenze;the border, limit, boundary
die Bühne;the stage
der Anhänger;trailer, follower, supporter
bedauern;to regret, be sorry, feel sorry
das Interesse;the interest
das Kino;the cinema
die Einheit;the entity, unit, unity
der Sonntag;the Sunday
erforderlich;required, necessary
schulden;to owe
der Stern;the star
dunkel;dark
scheinen;to seem, to appear, to shine, gleam, glisten
der Blödsinn;the nonsense
der Freitag;the Friday
der Zufall;the coincidence, accident, fluke, chance occurence
hinterlassen;to leave behind
fair;fair
locker;loose, relaxed, cool
nachdenken;to consider, contemplate, reflect
satt;replete, sated, full
hoffen;to hope
die Energie;the energy
die Oma;the grandma
die Großmutter;the grandmother
der Dieb;the male thief
der Beweis;the evidence, proof, verification
verbringen;to spend, to take/bring somewhere
der Garten;the garden
der Mantel;the coat
das Brot;the bread, the sandwich
die Lösung;the solution
das Wetter;the weather
schätzen;to estimate, value, appreciate
das Ohr;the ear
der Berg;the mountain
die Rose;the rose
die Erinnerung;the memory, reminder
normalerweise;normally
aufgeben;to relinquish, surrender, give up forsake, quit
der Ton;the tone, the sound, the note
das Gebiet;the area, territory, region
der Westen;the west
der Zweifel;the doubt
der Staat;the state
stehlen;to steal
einander;each other, one another
merken;to notice, to realise, to remember
der Direktor;the director
der Champagner;the champagne
das Publikum;the audience
dringend;urgent, desperately, pressing, urgently
der Bulle;the bull
der Stuhl;the chair
ebenso;just as, likewise, equally
der Schutz;the protection
weshalb;why
die Karriere;the career
kochen;to cook
der Norden;the north
nachher;afterwards, later
anhalten;to stop/halt, to hold to hold on
abends;in the evening
der Hintergrund;the background
der Schüler;the pupil
die Krankheit;the illness
